ID,smiles,pat,pat_enc,par3,umap1,umap2,pca1,pca2
171,CC(C)c1cc(C(C)C)c(-c2cc(-c3c(C(C)C)cc(C(C)C)cc3C(C)C)cc(P(C3CCCCC3)C3CCCCC3)c2)c(C(C)C)c1,pc3,0,0,6.846383,9.569906,15.37156273085285,-3.707685539386736
172,CC(C)c1cc(C(C)C)c(-c2cc(-c3c(C(C)C)cc(C(C)C)cc3C(C)C)cc(P(CC3CCCC3)CC3CCCC3)c2)c(C(C)C)c1,pc3,0,0,6.9049816,9.578497,15.89408297647532,-6.425764382493832
173,CC(C)c1cc(C(C)C)c(-c2cc(-c3c(C(C)C)cc(C(C)C)cc3C(C)C)cc(P(CC3CCCCC3)CC3CCCCC3)c2)c(C(C)C)c1,pc3,0,0,6.9477267,9.557847,16.43667075846463,-6.54057664088186
174,CC(C)c1cc(C(C)C)c(-c2cc(-c3c(C(C)C)cc(C(C)C)cc3C(C)C)cc(P(C(C)C)C(C)C)c2)c(C(C)C)c1,pc3,0,0,6.839844,9.581039,12.840518292661166,-3.635756254254056
175,COc1ccc(P(C2CCCC2)C2CCCC2)cc1,pc3,0,0,3.535387,7.0103536,-0.9711862715804516,-0.1078510299062589
176,CC(C)(C)c1cc(C(C)(C)C)c(-c2cc(-c3c(C(C)(C)C)cc(C(C)(C)C)cc3C(C)(C)C)cc(P(C3CCCC3)C3CCCC3)c2)c(C(C)(C)C)c1,pc3,0,0,6.889286,9.560701,17.313371727458506,-5.67129753666841
177,c1ccc2c(P(C3CCCC3)C3CCCC3)c3ccccc3cc2c1,pc3,0,0,5.0296097,7.526115,5.355261408223517,2.323941533254454
178,c1ccc2c(c1)cc(-c1cc(-c3cc4ccccc4c4ccccc34)cc(P(C3CCCC3)C3CCCC3)c1)c1ccccc12,pc3,0,0,6.7990513,9.390027,14.085202511335622,-7.806007676281729
179,Cc1ccccc1P(c1ccccc1C)C1CCCCC1,pc3,0,0,3.6216648,6.779302,0.4232371425704362,3.4780147014266065
180,Cc1cc(C)c(P(c2cc(C(C)(C)C)cc(C(C)(C)C)c2)C2CCCC2)c(C)c1,pc3,0,0,6.0355334,9.265058,5.322446483149092,1.1079549049307928
181,CC(C)P(c1cc(C(C)(C)C)cc(C(C)(C)C)c1)c1cc(C(C)(C)C)cc(C(C)(C)C)c1,pc3,0,0,5.798642,9.719659,3.622164234568362,1.3750111390394548
